datetime,header,text
2026-03-29T14:00:38+03:00,Відома акторка оголосила про розлучення з чоловіком-іноземцем після 5 років шлюбу,"Українська акторка та модель Вікторія Маремуха оголосила про розірвання шлюбу з французьким бізнесменом Луї Беллє після майже п’яти років спільного життя.
Новину Вікторія опублікувала у своєму Instagram, додавши серію їхніх сімейних знімків. У дописі акторка також зазначила, що разом пара провела цілих десять років та така любов встигла багато чому навчити їх. Маремуха підкреслила, що рішення про розрив спільне та прийняте свідомими дорослими людьми, які поважають одне одного.
«Прийшов час поділитися з вами. Ми з Луї офіційно розлучилися — як дві дорослі людини, які поважають одне одного» , — написала Вікторія.
Вона подякувала партнеру за спільні роки та всі пережиті моменти, включно з труднощами, і зазначила, що їхнє кохання просто змінило форму. Також Маремуха виразила вдячність Луї за свободу та сина, підкресливши, що вони залишаються батьками, які виховують дитину разом.
«Дякую тобі за цих десять неймовірних років. Наше кохання не зникло — воно закарбувалося в усмішці нашого сина. Ми багато пережили і багато навчилися одне в одного. Ми більше не подружжя. Але ми — батьки, які виховують особистість. І це зв’язок, який не закінчується», — додала акторка.
Варто зазначити, Вікторія Маремуха та Луї Беллє офіційно одружилися у червні 2021 року, а вже у вересні 2022-го у пари з’явився первісток Лука. Від самого початку вони не приховували, що дотримуються вільних стосунків — обоє могли мати симпатії на стороні, але завжди залишалися чесними одне з одним. Саме це правило раніше допомагало їм долати труднощі та зберігати повагу в шлюбі."
2026-03-29T14:00:00+03:00,Синхронізували образи: княгиня Шарлін та її 11-річна дочка Габріелла з’явилися на публіці у гарних луках,"Княгиня Шарлін з дітьми — принцом Жаком та принцесою Габріеллою вітали Папу Римського Лева XIV , який відвідав Монако.
Візит Папи Римського до Монако став першим за майже 500 років від часів Папи Павла III 1538 року.
Княгиня Шарлін з'явилася на зустрічі в білому пальті від Elie Saab, від цього ж бренду було біле пальто, зшите для її дочки Габріелли та сукня, яку дівчинка носила під пальтом. Взута принцеса була в балетки Marcie від Сhloe за 620 євро, волосся її було розпущене, а у вухах були такі самі сережки з перлів, як у мами.
Принцеса Габріелла часто з'являється на публічних заходах у вбраннях, які буквально повторюють образи її мами. Такий стиль княжої родини продуманий до дрібниць стилістами та працює на імідж бренду Грімальді."
2026-03-29T13:59:57+03:00,"Росіяни вкотре атакували об'єкти ""Нафтогазу"": що відомо","Російські окупаційні війська продовжують цілеспрямоване нищення української енергетичної інфраструктури. Протягом минулої доби під ударом безпілотників опинилися виробничі активи Групи Нафтогаз на Сумщині.
Про це йдеться у повідомленні НАК «Нафтогаз України» .
Це вже четвертий день поспіль, коли ворог атакує підприємства Групи. Внаслідок влучань на об’єкті у Сумській області зафіксовано суттєві пошкодження, на місці виникла пожежа.
«На щастя, обійшлося без постраждалих. Завдяки злагодженим діям працівників Нафтогазу та підрозділів ДСНС, пожежу вдалося оперативно ліквідувати», — сказав Сергій Корецький, голова правління НАК «Нафтогаз України».
Наразі фахівці займаються оцінкою завданих збитків. Попри системний тиск на енергетичний сектор, Група Нафтогаз продовжує забезпечувати стабільність постачання.
Російські окупанти у ніч проти 29 березня атакували Україну 442 дронами та ракетою «Кинджал».
Зокрема росіяни атакували Хмельницьку область . Під ударом також був Конотоп на Сумщині. Там російські війська завдали удару по цивільній інфраструктурі та житловому сектору міста.
Також стало відомо, що через обстріл Миколаївщини загинула 13-річна дівчинка."
2026-03-29T13:55:01+03:00,Таропрогноз на тиждень від 30 березня до 5 квітня 2026 року — коли мовить серце,"Після напруженого березня настає фаза, коли життя ніби видихає. Проте це не означає повну безтурботність, радше баланс між внутрішнім натхненням і зовнішньою відповідальністю.
Головна енергія цього періоду — м’якість, романтика тавідкритість до світу. Вона проявляється через нові знайомства, приємні зустрічі, натхнення та бажання творити. Це час, коли хочеться більше спілкування, краси і легких емоцій.
У житті можуть з’явитися люди, які принесуть із собою тепло, увагу чи навіть романтику. Також це гарний період для примирення, відновлення стосунків і нових починань, які базуються не на силі, а на довірі та харизмі.
Попри романтичну енергію, внутрішній стан цього тижня — доволі сильний та структурований. Відчувається потреба у контролі, порядку та чітких рішеннях. Це стан зрілості, коли хочеться не просто мріяти, а будувати.
Водночас емоційний фон залишається надзвичайно яскравим, тут і підйом, натхнення, відкритість до світу, плюс бажання ділитися почуттями. Це той рідкісний момент, коли раціональність та емоції можуть працювати разом.
Додається ще один важливий акцент — швидкість. Події можуть розвиватися досить стрімко. Те, що довго стояло на місці, починає рухатися вперед. Може бути момент, коли двоє людей зустрінуться для спільної мети чи нового етапу у житті.
У фінансовій сфері тиждень має дуже перспективний вигляд. Це період стабільності, достатку та впевненості у завтрашньому дні. Можливі великі надходження, премії чи успішні результати тривалої роботи.
Але разом із цим карти нагадують, що зараз важливо вміти чекати. Основна частина зусиль уже зроблена, тож тепер потрібно дати процесам дозріти. Це не час для поспіху, швидкі рішення можуть зіпсувати результат.
Паралельно відкривається ще одна лінія активності та нових можливостей: нові проєкти, зміна роботи чи сміливі фінансові кроки, які принесуть прибуток. Проте варто контролювати імпульсивність, особливо у витратах.
У любовній сфері тиждень дуже емоційний, але не без внутрішніх викликів. З одного боку — бажання гармонії, спокою та балансу. З іншого — тривоги, страхи чи сумніви, які можуть заважати насолоджуватися стосунками. Карти радять перш ніж робити висновки чи піддаватися паніці, варто заспокоїтися та чесно подивитися на ситуацію. Багато страхів можуть бути перебільшеними.
Також тиждень відкриває двері для легкого флірту та стосунків, які ні до чого не зобов’язують. Це час спонтанності, новизни та приємних знайомств без серйозних очікувань.
Водночас у стабільних парах можливий дуже гармонійний період із відчуттям щастя, близькості та емоційного задоволення. Час, коли можна по-справжньому насолоджуватися одне одним.
У питаннях здоров’я карти радять бути уважними до себе, особливо до внутрішніх відчуттів. Організм може сигналізувати про приховані процеси, які не завжди очевидні. Інтуїція тут стане важливим інструментом.
Загалом фізичний стан стабільний, особливо якщо дотримуватися режиму та рекомендацій лікарів. Перевірені методи лікування будуть найефективнішими.
Окрему увагу варто приділити емоційному стану. Втома, апатія чи відсутність мотивації можуть впливати на самопочуття. У цьому випадку важливо не залишатися у пасивності, а знайти ресурс для відновлення, через рух, відпочинок або зміну навколишнього середовища.
Головна рекомендація цього тижня — не поспішати. Навіть якщо події розвиваються швидко, важливо зберігати внутрішній спокій та не приймати рішень під впливом емоцій. Іноді найкраще рішення — зробити паузу, відійти від ситуації та подивитися на неї з боку. Баланс, стриманість і здатність не втягуватися у конфлікти допоможуть уникнути помилок.
Тиждень із 30 березня до 5 квітня — це тонка гра між почуттями та розумом. Він дарує романтику, натхнення та нові можливості, але водночас вимагає зрілості й самоконтролю. Якщо не піддаватися поспіху, не втрачати внутрішній баланс і довіряти собі, цей період може стати одним із найгармонійніших за останній час."
2026-03-29T13:50:40+03:00,Весняний салат із трьох інгредієнтів: смачна і вишукана страва із доступних продуктів,"Весна традиційно асоціюється зі свіжістю, оновленням і бажанням змінити раціон на більш легкий та корисний. Після ситних зимових страв організм потребує продуктів, багатих на вітаміни, воду та клітковину. Саме тому прості овочеві салати стають основою щоденного меню. Особливу популярність мають рецепти з мінімальною кількістю інгредієнтів — вони швидко готуються, зберігають природний смак продуктів і не перевантажують організм. Один із таких варіантів — весняний салат лише з трьох інгредієнтів, який легко приготувати навіть за кілька хвилин.
Цей рецепт можна назвати базовим, але водночас універсальним. Він підходить як для щоденного вживання, так і як легке доповнення до основних страв.
Огірки додають свіжості та соковитості, редис — легкої гостроти та хрумкості, а зелень створює аромат і завершеність смаку. Разом ці продукти формують гармонійну комбінацію, яка не потребує складних заправок чи додаткових інгредієнтів. Ще одна перевага — природна легкість. Такий салат не викликає відчуття тяжкості і добре засвоюється, що особливо важливо навесні.
На перший погляд рецепт здається елементарним, але навіть тут є нюанси, які впливають на результат.
Нарізання має значення. Тонкі кружальця редиски та огірків роблять салат ніжнішим.
Свіжість продуктів — ключовий фактор. Чим свіжіші овочі, тим яскравіший смак.
Сіль додавайте перед подаванням на стіл. Це дозволяє зберегти текстуру і уникнути зайвої рідини.
Хоча базовий варіант передбачає мінімалізм, правильна заправка може змінити страву:
йогурт без добавок — для дієтичного варіанту;
кілька крапель лимонного соку — для свіжої кислинки.
Цей салат — не лише смачний, а й корисний:
містить вітаміни групи B, C та мікроелементи;
Особливо корисно включати такі страви у щоденний раціон у період сезонного авітамінозу.
Навіть проста страва може виглядати ефектно:
подавайте в прозорій мисці, щоб було видно текстуру;
додайте зверху трохи зелені для контрасту;
використовуйте широку тарілку для «ресторанної» подачі.
Якщо хочеться змін, можна додати один додатковий інгредієнт: варене яйце, сир — бринзу чи фету, авокадо, насіння або горіхи. Це зробить салат більш поживним, але не вплине на його легкість."
2026-03-29T13:36:05+03:00,Атака РФ на Миколаївщину: у лікарні померла дитина,"Армія РФ у суботу, 28 березня, атакували Миколаївщину , є жертва. Росіяни вбили дитину.
Про це повідомляє голова Миколаївської ОВА Віталій Кім.
«На жаль, у лікарні померла 13-річна дівчинка…», — констатував Кім.
Висловлюємо щирі співчуття рідним та близьким загиблої. Росія неминуче відповідатиме за зло, яке принесла українцям."
2026-03-29T13:29:07+03:00,"Повернення до роботи після народження дитини — чому це складніше, ніж здається","Повернення до роботи після появи малюка часто має вигляд логічного кроку, бо ж життя «повертається у норму». Але правда у тім, що ця «норма» вже інша. Як пише видання Psychology Today, це не просто «вийти з декрету», а глибока внутрішня трансформація, яка впливає на кар’єру, самоідентичність і психічне здоров’я на роки вперед.
Новоспечені батьки стикаються не лише з організаційними викликами, як от дитячі садки, графіки та грудне вигодовування, а й з емоційним штормом, від провини до виснаження. І хоча наука десятиліттями досліджує материнство, реальний досвід повернення в робоче середовище досі залишається недостатньо вивченим.
Одна з головних помилок — думати, що після декрету можна просто «ввімкнутися назад». Насправді це повна перебудова життя. Цей період можна описати як одночасне проживання двох ролей, а саме матері та професіоналки. І тут виникає внутрішній конфлікт, адже на роботі є тривога через дитину, а вдома відчуття, що ви достатньо не встигаєте.
Багато жінок описують це як стан, коли «розриваєшся навпіл». І навіть якщо ви робите максимум, здається, що цього недостатньо. Важливо розуміти, що це не провал, а система, яка історично не була створена для підтримки мам, які працюють.
Ще один поширений сценарій — бажання компенсувати декрет. Жінки часто відчувають, що повинні працювати більше, ніж до народження дитини, доводити свою ефективність і «перепрошувати» за відсутність. При цьому продуктивність після декрету не знижується, але психологічний тиск надзвичайно реальний.
Досвід повернення до роботи впливає на психічне здоров’я матері, її кар’єрний розвиток і стосунки у сім’ї. Та й навіть більше, високий рівень стресу у матері може впливати на розвиток дитини. Саме тому цей етап не можна ігнорувати чи знецінювати.
Дозвольте собі все відчувати. Провина, сум, страх, полегшення, гордість — усе це нормально. Головне — не оцінювати себе через ці емоції. Замість «я погана мама», кажіть «зараз я відчуваю провину».
Забудьте про «повернути все як було». Ваше тіло, мозок і пріоритети змінилися і це нормально. Не намагайтеся відтворити старий ритм, створюйте новий.
Говоріть із партнером про навантаження . Розподіл домашніх обов’язків прямо впливає на те, як жінка переживає повернення до роботи. Якщо все тримати у собі, це швидко переростає у виснаження та образу.
Просіть про підтримку на роботі. Це може бути гнучкий графік, поступове повернення, окреме місце для зціджування молока та чіткі очікування від керівництва. Запит — це не слабкість, а інструмент контролю.
Не залишайтеся наодинці. Ізоляція — одна з найскладніших частин цього періоду. Підтримка може бути різною, наприклад, друзі, сім’я, інші батьки чи психолог. Якщо тривога чи пригнічення тривають довго, варто звернутися до спеціаліста.
Повернення до роботи після народження дитини — не просто логістика, а глибока трансформація особистості, ролей та очікувань. І якщо зараз здається, що це надто складно, то це не тому, що ви не справляєтесь, а тому, що робите щось справді непросте.
Суспільство часто очікує, що жінка «швидко повернеться у форму» і фізично, і професійно, проте реальність інша, адже це період пошуку нової себе. Найважливіше — не ідеальне балансування між усіма ролями, а чесність із собою та готовність просити підтримку."
2026-03-29T13:19:02+03:00,Пивоваров зворушив виконанням пісні Степана Гіги: зал не стримував сліз,"Співак Артем Пивоваров до глибини душі розчулив глядачів і сам ледь не розплакався, виконуючи «Яворину» на пам’ятному концерті Степана Гіги — подія, що зібрала легенд української культури на одній великій сцені Києва.
Увечері 28 березня в столичному Палаці спорту відбувся масштабний концерт пам’яті народного артиста України Степана Гіги, який відійшов у вічність у грудні 2025 року. Зала була переповнена охочими вшанувати митця та почути його найвідоміші хіти у виконаннях сучасних українських знаменитостей. Загалом на сцену вийшли близько п’ятдесяти артистів .
Концерт увійшов у серця присутніх не лише музикою, а й емоційною справжністю. Під час виконання «Яворини», однієї з найвідоміших пісень покійного співака, Пивоваров неодноразово зупинявся, намагаючись стримати сльози — і це було помітно неозброєним оком.
Хор та гості вечора створили атмосферу єдності поколінь, адже пісні Степана Гіги давно стали частиною культурного коду України.
Окрім Пивоварова, на сцені виступили alyona alyona, Zlata Ognevich, Віктор Бронюк (ТІК), FIЇNKA, Roman Scorpion, колектив «Лісапетний батальйон» та багато інших артистів, які виконували хіти «Цей сон», «Золото Карпат» і ще багато улюблених композицій."
2026-03-29T13:17:15+03:00,На Львівщині автомобіль врізався у маршрутку з пасажирами: є потерпілі (фото),"У Львівській області в селі Нове Село Chevrolet Aveo виїхав на зустрічну смугу та врізався в рейсовий автобус, що перевозив пасажирів до Львова. Внаслідок удару четверо осіб опинилися в лікарні.
Про це повідомили в поліції Львівської області.
За даними правоохоронців, аварія трапилася близько 10:50. За кермом легковика перебувала 23-річна місцева мешканка.
Водійка Chevrolet Aveo не впоралася з керуванням та виїхала на смугу зустрічного руху. Там відбулося лобове зіткнення з автобусом маршруту «Стронятин — Нове Село — Куликів — Львів», яким керував 69-річний чоловік.
Усіх постраждалих госпіталізували до медичних закладів регіону.
Поліцейські вже відкрили кримінальне провадження за ч. 1 ст. 286 КК України (Порушення правил безпеки дорожнього руху).
позбавлення права керувати транспортними засобами на аналогічний термін.
Наразі правоохоронці продовжують встановлювати всі обставини події."
2026-03-29T13:10:00+03:00,"Леді Кітті Спенсер одягла на бал сукню, створену за мотивами стародавньої картини","Пізніше у своєму Instagram Кітті пояснила походження цієї сукні та детальніше розповіла про неї.
Сукня, обрана Спенсер була в стилі ампір від бренду, глобальною амбасадоркою якого вона є від 2021 року. Вбрання було прикрашене корсетом, розшитим коралами, кристалами та перлами.
Як пояснила аристократка в Instagram спідниця була прикрашена вишивкою по всій поверхні, натхненною картиною Жака-Луї Давида 1789 «Кохання Париса та Олени», яка зберігається в Луврі. Репліка історичної картини XVIII століття, що зображує Олену Троянську та Паріса з грецької міфології, була обгорнута навколо сукні, яка спадала складками.
Сама сукня була без рукавів, але Кітті додала яскравого акценту за допомогою червоних пір'яних прикрас, прикріплених до зап'ястей як імпровізовані рукави.
Кітті зібрала своє світле волосся у високу зачіску, яка підкреслила її ефектні прикраси - сережки та кольє-чокер до тону, які також були з колекції Alta Moda від Dolce & Gabbana. Прикраси відрізнялися золотими деталями та квітковими мотивами, прикрашеними різним коштовним камінням."
